Nxt       STR  DEF   MAG  MGR   SPD   
50        5                          
84        5                          
132       5                          
195       5                          
274       5                          
373       6                           
492       6                            
633       6                             
798       6                              
990       6                              
1209      7                             
1458      7                            
1738      7                              
2052      7                             
2400      7                            
2785      8                              
3209      8                              
3672      8                                 
4177      8                                
4726      8                                 
5320      9                                 
5961      9                                 
6651      9                                 
7391      9                                  
8182      9                                   
9028      9                                     
9929      10                                 
10886     10                                  
11902     10                                  
12979     10                                
14117     10                              
15319     11                                 
16586     11                                 
17919     11                                 
19321     11                                
20793     11                                
22337     12                                 
23954     12                                  
25645     12                                  
27413     12                                 
29259     12                                   
31185     12                                 
33192     13                              
35282     13                                  
37456     13                                  
39176     13                                 
42063     13                                  
44500     13                                
47028     14                                     
49647     14                                         
52361     14                                         
55169     14                                           
58075     14                                          
61079     14                                          
64184     15                                     
67390     15                                         
70699     15                                         
74112     15                                        
77632     15                                    
81260     15                                       
84997     16                                           
88845     16                                           
92085     16                                          
96879     16                                    
101069    16                                          
105375    17                                             
109800    17                                               
114346    17                                           
119012    17                                          
123802    17                                           
128716    18                                              
133756    18                                             
138924    18                                              
144221    18                                                 
149649    18                                               
155209    19                                             
160902    19                                         
166731    19                                        
172696    19                                           
178799    19                                                    
185042    20                                              
191246    20                                              
197953    20                                           
204624    20                                             
211440    20                                              
218403    21                                                 
225515    21                                                
232777    21                                           
240191    21                                          
247758    21                                                    
255479    22                                               
263356    22                                                
271390    22                                                 
279584    22                                                
287938    22                                                    
296453    23                                                     
305132    23                                                   
313976    23                                             

